[5/12/2022 10:38:44 AM | 416 ms] : ( d6_1160.548_False_350 )
[5/12/2022 2:49:12 PM | 793 ms] : ( d1_11.23822_False_340 )
[5/12/2022 2:49:12 PM | 809 ms] : ( d2_28.73678_False_340 )
[5/12/2022 2:49:12 PM | 825 ms] : ( d3_18.03962_False_340 )
[5/12/2022 2:49:12 PM | 841 ms] : ( d4_49.44304_False_340 )
[5/12/2022 2:49:12 PM | 857 ms] : ( d5_260.6217_False_340 )
[5/12/2022 2:49:12 PM | 873 ms] : ( d6_1080.957_False_340 )
[5/12/2022 2:49:12 PM | 984 ms] : ( d1_10.31882_False_340 )
[5/12/2022 2:49:12 PM | 999 ms] : ( d2_31.97617_False_340 )
[5/12/2022 2:49:13 PM |  15 ms] : ( d3_16.50729_False_340 )
[5/12/2022 2:49:13 PM |  30 ms] : ( d4_51.60263_False_340 )
[5/12/2022 2:49:13 PM |  46 ms] : ( d5_103.8136_False_340 )
[5/12/2022 2:49:13 PM |  62 ms] : ( d6_1427.724_False_340 )
[5/12/2022 2:49:13 PM | 174 ms] : ( d1_10.9667_False_340 )
[5/12/2022 2:49:13 PM | 190 ms] : ( d2_27.37918_False_340 )
[5/12/2022 2:49:13 PM | 205 ms] : ( d3_17.58708_False_340 )
[5/12/2022 2:49:13 PM | 220 ms] : ( d4_48.53796_False_340 )
[5/12/2022 2:49:13 PM | 236 ms] : ( d5_242.5203_False_340 )
[5/12/2022 2:49:13 PM | 251 ms] : ( d6_1035.703_False_340 )
[5/12/2022 2:49:13 PM | 360 ms] : ( d1_10.0473_False_340 )
[5/12/2022 2:49:13 PM | 376 ms] : ( d2_30.61856_False_340 )
[5/12/2022 2:49:13 PM | 391 ms] : ( d3_16.05475_False_340 )
[5/12/2022 2:49:13 PM | 407 ms] : ( d4_50.69756_False_340 )
[5/12/2022 2:49:13 PM | 422 ms] : ( d5_285.7121_False_340 )
[5/12/2022 2:49:13 PM | 438 ms] : ( d6_1382.47_False_340 )
[5/12/2022 2:49:13 PM | 549 ms] : ( d1_10.69517_False_340 )
[5/12/2022 2:49:13 PM | 565 ms] : ( d2_26.02157_False_340 )
[5/12/2022 2:49:13 PM | 581 ms] : ( d3_17.13455_False_340 )
[5/12/2022 2:49:13 PM | 597 ms] : ( d4_47.63289_False_340 )
[5/12/2022 2:49:13 PM | 613 ms] : ( d5_224.4189_False_340 )
[5/12/2022 2:49:13 PM | 629 ms] : ( d6_1490.45_False_340 )
[5/12/2022 2:49:13 PM | 740 ms] : ( d1_12.77578_False_340 )
[5/12/2022 2:49:13 PM | 756 ms] : ( d2_29.26095_False_340 )
[5/12/2022 2:49:13 PM | 773 ms] : ( d3_15.60222_False_340 )
[5/12/2022 2:49:13 PM | 789 ms] : ( d4_49.79248_False_340 )
[5/12/2022 2:49:13 PM | 805 ms] : ( d5_267.6107_False_340 )
[5/12/2022 2:49:13 PM | 821 ms] : ( d6_1337.217_False_340 )
[5/12/2022 2:49:13 PM | 931 ms] : ( d1_10.42365_False_340 )
[5/12/2022 2:49:13 PM | 946 ms] : ( d2_39.66396_False_340 )
[5/12/2022 2:49:13 PM | 962 ms] : ( d3_16.68201_False_340 )
[5/12/2022 2:49:13 PM | 978 ms] : ( d4_46.72782_False_340 )
[5/12/2022 2:49:13 PM | 993 ms] : ( d5_206.3174_False_340 )
[5/12/2022 2:49:14 PM |   9 ms] : ( d6_1445.196_False_340 )
[5/12/2022 2:49:14 PM | 120 ms] : ( d1_10.58067_False_340 )
[5/12/2022 2:49:14 PM | 136 ms] : ( d2_25.44904_False_340 )
[5/12/2022 2:49:14 PM | 151 ms] : ( d3_16.94371_False_340 )
[5/12/2022 2:49:14 PM | 166 ms] : ( d4_52.47546_False_340 )
[5/12/2022 2:49:14 PM | 182 ms] : ( d5_216.7852_False_340 )
[5/12/2022 2:49:14 PM | 198 ms] : ( d6_1471.365_False_340 )
[5/12/2022 2:49:14 PM | 309 ms] : ( d1_12.66127_False_340 )
[5/12/2022 2:49:14 PM | 325 ms] : ( d2_28.68843_False_340 )
[5/12/2022 2:49:14 PM | 341 ms] : ( d3_15.41138_False_340 )
[5/12/2022 2:49:14 PM | 357 ms] : ( d4_49.4108_False_340 )
[5/12/2022 2:49:14 PM | 372 ms] : ( d5_259.977_False_340 )
[5/12/2022 2:49:14 PM | 388 ms] : ( d6_1318.132_False_340 )
[5/12/2022 2:49:14 PM | 500 ms] : ( d1_10.30915_False_340 )
[5/12/2022 2:49:14 PM | 516 ms] : ( d2_39.09143_False_340 )
[5/12/2022 2:49:14 PM | 532 ms] : ( d3_16.49117_False_340 )
[5/12/2022 2:49:14 PM | 548 ms] : ( d4_51.57039_False_340 )
[5/12/2022 2:49:14 PM | 563 ms] : ( d5_198.6837_False_340 )
[5/12/2022 2:49:14 PM | 579 ms] : ( d6_1426.112_False_340 )
[5/12/2022 2:49:14 PM | 688 ms] : ( d1_12.38975_False_340 )
[5/12/2022 2:49:14 PM | 704 ms] : ( d2_27.33082_False_340 )
[5/12/2022 2:49:14 PM | 720 ms] : ( d3_19.95884_False_340 )
[5/12/2022 2:49:14 PM | 736 ms] : ( d4_48.50573_False_340 )
[5/12/2022 2:49:14 PM | 752 ms] : ( d5_241.8756_False_340 )
[5/12/2022 2:49:14 PM | 768 ms] : ( d6_1272.879_False_340 )
